adresses_indices,market_transactions_indices,index
0,2491698,750296
1,2489103,747545
2,3109616,1400853
5,2492451,751079
13,2487860,746213
16,2495002,753773
17,2487226,745535
22,2487288,745598
26,2492611,751248
29,2483774,741872
32,2487776,746116
34,2487226,745535
36,1246534,2960487
37,2494319,753062
45,2484178,742295
46,2487226,745535
50,2491324,749893
55,2493035,751699
56,2493500,752193
64,2489658,748124
66,2489930,748408
71,2485979,744234
80,2483175,741253
81,1314415,3047580
84,2492991,751652
99,2490580,749109
104,2493646,752350
108,2483988,742095
109,2490512,749036
110,2487776,746116
114,2487776,746116
117,2486302,744556
123,2484698,742903
124,2487776,746116
135,2493347,752026
141,2484423,742538
142,2494386,753134
144,2488565,746992
147,2488834,747270
149,3042816,1330212
151,2487891,746248
152,2489713,748185
156,2495564,754373
163,2485979,744234
164,2487776,746116
166,2488255,746648
168,2486443,744697
169,2483275,741356
171,2487294,745606
179,2496140,754977
181,2483913,742015
183,2494312,753055
185,2495404,754208
186,2493198,752116
189,2487776,746116
190,2488565,746992
193,2493897,752623
196,2487860,746213
206,2494036,752767
208,2487226,745535
218,2485793,744052
222,2488094,746464
227,2488681,747111
228,2484338,742478
229,3140539,1433471
231,2494125,752863
232,2492991,751652
238,2493538,752235
250,2191039,436042
253,2485065,743278
254,2483704,741806
256,2487852,746204
258,2490053,748539
259,2487226,745535
262,2483256,741328
272,2485710,743966
282,2488565,746992
296,2492720,751615
299,2484771,742967
301,2488839,747275
303,2483969,742071
308,2483562,741666
310,2487226,745535
315,2491564,750151
318,2485442,743676
320,2484010,742116
324,2492991,751652
325,2495259,754053
328,2487860,746213
329,2487758,746092
333,2489297,747746
334,2490121,748618
335,2487288,745598
336,2496018,754864
341,2483460,741557
345,2492217,750843
353,2490727,749259
354,2494897,753669
366,2491761,750363
370,2487740,746072
373,2491851,750456
378,2490128,748625
381,1187428,2883561
384,2490266,748766
390,2487776,746116
393,2485760,744006
394,416902,4156076
400,3139355,1432173
401,1339663,3080010
407,2487776,746116
409,2330850,580949
410,2488565,746992
412,2485250,743469
415,1231297,2940579
421,394719,2040935
422,395179,2041411
427,2491928,750858
433,2487081,745374
434,2487288,745598
440,2487860,746213
441,1375180,3125350
459,2487902,746259
462,2487096,745389
472,2489949,748427
481,2483708,741810
486,2494123,752861
490,2487226,745535
495,2490158,748655
496,2494366,753112
499,1147781,2833675
500,2487776,746116
506,2495228,754019
508,2487226,745535
518,2487776,746116
520,2489093,747535
525,2487776,746116
528,2484382,742536
532,2491647,750239
533,1257708,2975716
535,2487776,746116
536,2485793,744052
543,2488565,746992
549,2495100,753878
553,2484524,742700
555,1259775,2977555
568,2490514,749038
572,2487226,745535
574,2488855,747289
580,2484590,742772
585,2487776,746116
586,2485461,743698
589,2495152,753932
603,2487288,745598
604,2494421,753170
605,2493697,752398
615,2489356,747809
619,2492991,751652
620,2489328,747779
629,1419504,3183089
642,2488565,746992
644,3056893,1345192
647,2495165,753947
652,1391852,3147129
653,2340507,591088
656,2485990,744245
658,2484053,742163
675,2484373,742524
683,2491155,749727
690,2486262,744518
701,2490206,748704
704,2485797,744056
708,399274,2045822
714,2488960,747383
716,2483304,741389
721,2490534,749060
723,2487776,746116
729,194082,1829259
730,1170389,2861556
731,2331159,581284
737,2484846,743051
741,2495845,754660
753,3128489,1420919
755,2488565,746992
759,2487776,746116
761,2487776,746116
765,396987,2043348
767,2487384,745699
771,2483774,741872
775,2487096,745389
776,2491648,750240
777,1353544,3097659
783,2494670,753434
787,2484796,743016
795,2492495,751127
796,2487214,745521
798,2483435,741531
801,2485723,743979
806,1303154,3033159
810,2490199,748696
811,2484349,742489
816,2493089,751761
818,2493136,751811
821,2493634,752335
825,2488855,747289
826,2487776,746116
829,2487776,746116
831,2487776,746116
833,2487776,746116
834,2486962,745250
836,2494458,753202
837,397208,2043591
839,2483916,742018
842,2484275,742397
848,2488565,746992
852,2491872,750479
856,2495351,754155
857,1304343,3034691
860,2483316,741402
861,2495407,754211
864,2485799,744058
865,2487776,746116
866,2487696,746029
871,2485979,744234
874,2487226,745535
876,2486083,744339
877,1337849,3077737
884,2494076,752807
886,2488895,747330
888,2490199,748696
889,2487387,745702
890,3182592,1477922
891,3142071,1435063
896,2491646,750238
898,2484612,742794
899,2489703,748175
900,2490435,748951
904,2490199,748696
909,1238870,2950497
910,398552,2045025
911,2483813,741919
914,2489062,747499
915,2488520,746936
916,2484261,742383
929,1369111,3117559
933,2488148,746522
934,2487067,745359
936,2487776,746116
939,2490112,748609
949,3074864,1364242
952,2490955,749516
955,2487412,745735
957,396424,2042736
959,2487776,746116
962,2493100,751774
968,2494575,753341
973,2493525,752216
977,2496239,755073
979,2490383,748894
988,1170389,2861556
994,2490199,748696
1003,2496210,755046
1004,1397602,3154616
1005,2494957,753730
1010,2491494,750072
1013,2486708,744993
1014,2488855,747289
1015,2486067,744323
1020,2494406,753154
1021,1146322,2832209
1026,2496269,755103
1027,2487776,746116
1029,1367067,3111906
1030,2487776,746116
1036,3045110,1332686
1039,2487776,746116
1040,2495556,754367
1044,2487776,746116
1045,2495702,754509
1053,2492079,750704
1057,398960,2045458
1058,396136,2042445
1062,2486763,745050
1063,2490199,748696
1065,2492991,751652
1068,2488429,746837
1071,3189415,1485199
1072,2490199,748696
1074,2491198,749770
1075,2487776,746116
1076,398918,2045418
1077,2493186,751863
1078,2487353,745662
1080,398114,2044552
1085,2487226,745535
1087,2488839,747275
1088,2483523,741607
1089,2487860,746213
1090,2491263,749839
1094,2493487,752181
1102,2495305,754108
1110,2486277,744533
1111,2487271,745581
1114,2488473,746885
1116,2489628,748090
1118,2487860,746213
1123,2488839,747275
1126,2494124,752862
1132,2487226,745535
1133,2486541,744815
1147,2495492,754299
1153,2494927,753700
1165,2487226,745535
1170,2484626,742810
1173,2487252,745555
1176,2489271,747721
1189,2486960,745248
1190,2491466,750037
1192,2486045,744301
1195,2484244,742362
1198,2491680,750273
1200,2491696,750294
1208,2483354,741438
1211,2494030,752689
1217,2493020,751683
1219,3144997,1438104
1222,2483987,742094
1229,2484392,742547
1230,1390343,3145125
1232,1259775,2977555
1233,398121,2044560
1236,2487997,746362
1244,2494072,752803
1245,397656,2044083
1246,1308968,3040670
1252,2492216,750842
1256,2487776,746116
1257,1314451,3047635
1264,2485979,744234
1265,1155224,2841885
1269,2487737,746036
1270,2487776,746116
1275,2494247,752987
1281,2491403,749971
1284,2487776,746116
1288,2489952,748430
1295,2485218,743438
1296,2489231,747679
1298,2483703,741805
1305,2493882,752603
1306,2483424,741516
1317,2485407,743649
1319,2495312,754117
1321,1268110,2988185
1326,2490269,748769
1327,2483390,741477
1331,2488671,747102
1338,2495999,754844
1349,2495289,754092
1353,2483774,741872
1357,2495154,753934
1360,2489613,748074
1381,2496241,755075
1393,2492169,750793
1394,2485249,743468
1403,2493587,752284
1407,398976,2045475
1410,2495086,753863
1412,2492293,750917
1420,2494902,753674
1421,398953,2045451
1425,2494929,753702
1426,1339658,3080004
1429,2487776,746116
1431,2487917,746274
1437,2483184,741264
1439,2486305,744559
1442,1252522,2968180
1443,2495263,754060
1446,2493787,752496
1448,2488565,746992
1449,398277,2044717
1450,2487456,745781
1451,2487776,746116
1455,2491134,749707
1459,2491714,750312
1461,2490266,748766
1470,2485099,743313
1472,3182755,1478101
1473,2344364,595125
1476,1326218,3062799
1479,2489837,748312
1484,2487860,746213
1485,1379255,3130685
1494,2489824,748299
1496,2485979,744234
1498,2487776,746116
1499,2483782,741881
1509,2490199,748696
1511,2483549,741645
1514,2494556,753319
1516,2487776,746116
1520,2493500,752193
1523,2487712,746037
1524,2487776,746116
1529,2241950,488329
1532,2495787,754598
1540,2489662,748129
1548,3055118,1343311
1549,192056,1827153
1551,2495318,754125
1558,2484833,743038
1562,2487776,746116
1569,2494047,752778
1571,2493286,751960
1579,2489062,747499
1586,1314454,3047638
1587,2485978,744233
1589,2488695,747125
1592,2488695,747125
1593,2487447,745772
1598,1170389,2861556
1601,2485143,743368
1605,2487226,745535
1606,2486301,744555
1607,2491002,749566
1609,2485978,744233
1610,2487226,745535
1613,2487194,745496
1619,1268117,2988195
1625,193188,1828370
1631,2494505,753256
1634,2487279,745589
1636,2493141,751816
1640,2484130,742238
1641,2493851,752570
1643,2493264,751940
1652,1364760,3111908
1653,2491466,750037
1654,2487776,746116
1655,2492662,751303
1659,3070285,1359400
1662,2485784,744042
1666,2493650,752522
1669,2489212,747658
1672,2488855,747289
1675,2486306,744560
1678,2485793,744052
1684,2487428,745753
1688,2488807,747243
1690,2506437,765844
1691,2487776,746116
1694,2487226,745535
1697,2494214,752955
1698,2487776,746116
1699,3068336,1357366
1702,2488565,746992
1704,2496153,754989
1709,2491028,749592
1711,2485199,743419
1723,1306975,3038124
1724,1375182,3125352
1725,2487288,745598
1740,2483346,741432
1741,2489579,748040
1745,2483326,741412
1747,2493090,751762
1749,2488855,747289
1751,2484876,743078
1753,1360289,3106316
1757,1339675,3080024
1759,1360288,3106315
1760,2491063,749641
1762,2484727,742918
1764,2495589,754396
1766,2488546,746973
1768,2487288,745598
1772,2494410,753158
1775,398201,2044641
1778,2489932,748410
1779,2489606,748067
1781,2494966,753739
1782,2495264,754062
1787,2494708,753472
1800,2487226,745535
1801,2492346,750973
1804,2484415,742571
1806,2491864,750471
1811,2487776,746116
1813,3144239,1437301
1818,2493246,751920
1825,2487776,746116
1826,2487330,745635
1827,2488475,746887
1829,2494146,752884
1837,2490926,749484
1838,2492947,751605
1839,2494242,752982
1847,2486750,745037
1850,2487226,745535
1852,2488839,747275
1855,3143954,1437004
1856,197041,1832298
1857,2483325,741411
1860,2487005,745290
1862,2494457,753201
1872,2487776,746116
1875,2487262,745568
1879,1295043,3022783
1880,3120824,1412589
1882,198471,1833760
1894,2492754,751399
1896,2490230,748727
1902,2487776,746116
1903,2487226,745535
1906,2252591,499360
1908,2487226,745535
1910,2488730,747161
1912,2494953,753726
1915,2488938,747361
1918,2489830,748305
1919,2494678,753442
1922,2494554,753317
1923,2484192,742309
1926,2486513,744780
1927,2485653,743905
1928,2487860,746213
1935,2487776,746116
1937,2486599,744876
1940,2493999,752725
1973,2484893,743096
1975,2485516,743752
1980,2488310,746711
1982,2494056,752787
1983,2485494,743732
1988,2485201,743421
1991,2485180,743409
1996,1207016,2908684
1997,2491118,749698
1998,2486573,744849
2001,2496068,754903
2003,2484062,742172
2004,2493731,752434
2005,2483540,741636
2007,2485111,743325
2012,2485793,744052
2020,2487860,746213
2021,2488565,746992
2026,2489533,747983
2029,2495057,753830
2030,2495324,754134
2037,2485793,744052
2039,2493250,751924
2040,2487083,745376
2045,1379761,3131321
2046,399771,2046343
2047,2487776,746116
2048,2490323,748834
2052,2495150,753930
2061,199236,1834551
2065,2489777,748256
2076,2487288,745598
2078,2495259,754053
2080,2494674,753438
2085,2486744,745031
2086,2488640,747069
2088,2487776,746116
2092,2490055,748541
2093,2487226,745535
2101,2487776,746116
2107,1223558,2930377
2113,2484667,742853
2118,2487776,746116
2125,2487776,746116
2128,2495545,754356
2129,2488030,746393
2133,2484626,742810
2135,2494103,752836
2136,2494349,753095
2140,2487776,746116
2142,2486310,744565
2152,2483853,741948
2154,2487776,746116
2157,2494080,752811
2158,2485793,744052
2159,2488112,746483
2161,2494103,752836
2165,2489769,748247
2169,2486962,745250
2170,2487211,745518
2172,2491798,750403
2174,2487226,745535
2176,2487285,745595
2184,195625,1830863
2186,2492171,750795
2187,2494715,753479
2188,1223478,2930285
2194,2493379,752053
2195,2487776,746116
2197,2488627,747056
2198,2491337,749906
2200,2486260,744516
2201,2490288,748786
2202,1170389,2861556
2203,2489931,748409
2207,2493129,751804
2210,2487013,745298
2213,2487776,746116
2215,3054726,1342904
2216,2488109,746480
2217,199580,1834922
2218,2495275,754075
2223,2492167,750791
2227,2490653,749186
2229,2486645,744922
2231,2485131,743355
2232,2483643,741749
2234,2485684,743939
2247,2494102,752835
2250,1224980,2932261
2255,3146753,1439953
2263,2485414,743656
2265,399783,2046359
2267,2490199,748696
2280,396968,2043329
2283,2485036,743247
2285,2490296,748795
2286,2490805,749352
2295,2485249,743468
2296,2484087,742194
2297,2484919,743122
2299,2495842,754657
2300,2490199,748696
2302,2485658,743912
2305,2487455,745780
2308,2490199,748696
2310,2489789,748262
2314,2491011,749575
2315,2491194,749766
2324,2492966,751626
2326,2490658,749191
2329,2488243,746636
2331,2485979,744234
2332,2490199,748696
2337,2495289,754092
2339,2486032,744288
2341,2485235,743454
2345,2492991,751652
2350,2485979,744234
2355,2485249,743468
2359,2492246,750867
2362,1395581,3151945
2365,1428701,3194923
2366,2484652,742913
2371,2491763,750365
2372,2487288,745598
2382,2488803,747239
2385,2490207,748705
2386,2493112,751790
2387,2486524,744798
2392,2494769,753528
2396,2487288,745598
2403,2493940,752667
2404,2487776,746116
2406,2487860,746213
2414,2487860,746213
2415,2495027,753804
2416,2486751,745038
2417,2485235,743454
2420,2490199,748696
2430,2485599,743849
2433,2488565,746992
2435,2492988,751648
2444,2490199,748696
2445,2487428,745753
2448,2493338,752017
2449,2485249,743468
2451,2490199,748696
2457,2487226,745535
2466,2494399,753147
2467,2485906,744163
2474,2487226,745535
2476,2253601,500391
2478,2490266,748766
2485,2493497,752189
2486,2496105,754945
2488,2493848,752567
2493,1051594,2045760
2494,2486493,744757
2498,397331,2043730
2501,2483989,742096
2502,2494386,753134
2506,2485312,743542
2508,2492246,750867
2509,2492245,750866
2518,2488855,747289
2521,2483435,741531
2524,2489062,747499
2526,2488463,746874
2530,2484719,742912
2531,2488273,746667
2532,2485979,744234
2534,2485778,744036
2535,2491035,749602
2539,2486491,744755
2540,2484861,743066
2545,397328,2043727
2547,1259775,2977555
2554,2487226,745535
2558,2487910,746267
2581,2493531,752222
2584,2486743,745030
2588,2486504,744770
2590,2492594,751229
2592,2490242,748739
2595,2486615,744894
2596,2490224,748721
2600,2485659,743913
2611,3067878,1356876
2613,2487776,746116
2619,2487776,746116
2620,2494292,753033
2621,2484846,743051
2624,2493908,752635
2626,2493860,752579
2627,2487125,745420
2632,2483911,742013
2634,2485063,743289
2636,2494853,753625
2638,2486261,744517
2642,2490746,749283
2645,2334659,584995
2655,2492966,751626
2659,2488046,746412
2660,3045050,1332618
2663,195410,1830631
2671,2487428,745753
2673,1292060,3018951
2679,2492967,751627
2681,1356438,3101363
2682,1337927,3077837
2683,2485024,743234
2685,1149556,2835559
2690,399707,2046290
2698,2493063,751732
2706,3141426,1434402
2707,2486888,745176
2708,2485202,743422
2710,2486523,744797
2711,2485463,743700
2716,2485978,744233
2718,2489176,747622
2720,2487226,745535
2726,2494576,753342
2729,2493345,752024
2730,2484155,742269
2731,2493880,752599
2733,2491350,749919
2738,2490881,749442
2739,2493848,752567
2741,2494986,753757
2745,2483727,741829
2752,3139563,1432401
2754,2487383,745698
2761,1259775,2977555
2765,2490880,749441
2766,2492004,750621
2770,1356386,3101358
2771,2487226,745535
2778,2490199,748696
2784,408991,2056271
2791,1265953,2985414
2793,2487776,746116
2797,2487226,745535
2801,2494386,753134
2817,2488565,746992
2818,2485461,743698
2821,2485783,744041
2826,2487776,746116
2828,2488855,747289
2829,2485091,743305
2835,2493650,752522
2839,2487651,745983
2847,2488855,747289
2850,2485235,743454
2851,2485312,743542
2854,2492232,750857
2860,2489597,748058
2861,2487288,745598
2864,2486962,745250
2866,2486557,744830
2870,2487776,746116
2876,396659,2042991
2881,2491574,750161
2883,2492587,751222
2889,2489421,747871
2892,2490875,749434
2895,2486070,744326
2898,2485793,744052
2899,2488565,746992
2902,1197888,2896870
2903,2484158,742274
2904,2493497,752189
2906,2487776,746116
2910,2485538,743780
2914,2493390,752064
2919,2483511,741603
2923,2494177,752924
2925,2495468,754276
2930,2493049,751714
2932,1360289,3106316
2934,2491987,750598
2936,2490155,748652
2938,2495035,754066
2941,2487776,746116
2946,2486226,744562
2952,2485235,743454
2963,2491322,749891
2967,2488418,746826
2970,2487776,746116
2973,2483133,741203
2974,2487226,745535
2981,2493972,752697
2985,2487226,745535
2987,2486933,745220
2997,2487591,745918
3001,2494252,752993
3004,2493063,751732
3005,1223567,2930394
3006,2487776,746116
3007,2488565,746992
3010,1354758,3099239
3015,1223474,2930280
3016,2495759,754569
3021,1252523,2968181
3025,2495217,754008
3035,2286103,533782
3036,2487776,746116
3037,1370794,3119724
3038,2488457,746868
3040,2484867,743156
3042,1339659,3080005
3046,2493497,752189
3048,2491814,750419
3049,2487776,746116
3050,2493020,751683
3052,2483748,741846
3053,2484088,742195
3056,2495381,754186
3058,2487776,746116
3062,2488565,746992
3068,403978,2050844
3074,2492991,751652
3078,2489790,748263
3084,2489374,747827
3086,2495608,754417
3089,195763,1831007
3090,2487226,745535
3097,2494009,752735
3105,2493853,752572
3110,2490241,748738
3111,2495305,754108
3112,2489373,747826
3115,2484833,743038
3121,2490071,748559
3122,2489062,747499
3123,2495305,754108
3130,2488855,747289
3131,3182035,1477323
3134,2489062,747499
3147,2485235,743454
3153,2486645,744922
3168,2483177,741255
3169,403082,2049887
3181,1259775,2977555
3184,2485979,744234
3191,2486235,744486
3193,2494900,753672
3194,2488708,747138
3198,2487776,746116
3199,2488899,747334
3204,2486296,744550
3217,2495626,754435
3222,2487377,745688
3224,2487226,745535
3226,400380,2047007
3235,2494555,753318
3236,2488430,746838
3237,2494145,752883
3242,2487980,746345
3243,2488549,746976
3246,2486541,744815
3250,2495883,754711
3252,2495785,754596
3253,1360289,3106316
3254,2487226,745535
3255,2487860,746213
3261,3130670,1423020
3270,2487226,745535
3271,2487776,746116
3273,2496141,754978
3275,2492451,751079
3286,2491317,749886
3293,2492081,750706
3296,2495289,754092
3297,2490450,748975
3298,2488855,747289
3299,2487776,746116
3304,2494578,753344
3306,2494397,753145
3315,2490326,748837
3323,2493942,752671
3326,2495469,754277
3327,2485395,743636
3331,2492067,750684
3338,2483701,741803
3345,2485793,744052
3354,2484294,742428
3363,2488840,747355
3364,2483374,741461
3370,1325193,3061423
3371,2489184,747630
3383,2483255,741327
3388,2495545,754356
3393,2495965,754800
3394,2492451,751079
3397,2494725,753494
3399,2492298,750922
3401,2485249,743468
3405,2487226,745535
3406,1268116,2988194
3412,2488855,747289
3421,2488732,747163
3423,2487776,746116
3425,2488676,747108
3428,2493346,752025
3429,2487288,745598
3432,2487583,745909
3433,2485978,744233
3435,1271223,2992216
3437,1371995,3121258
3438,403320,2050160
3443,2490865,749417
3454,2487226,745535
3463,2494504,753255
3466,2491343,749912
3467,1240810,2952955
3470,2483510,741602
3472,2489033,747464
3475,2488565,746992
3478,195539,1830766
3480,2490911,749467
3481,2484795,742997
3484,2487924,746285
3486,2495330,754143
3487,1365421,3112788
3488,2487428,745753
3492,2494110,752847
3500,2489660,748126
3501,2487776,746116
3503,1900013,2851177
3509,1333155,3071708
3511,2487226,745535
3512,2487776,746116
3514,403269,2050095
3518,2487851,746203
3526,2488212,746602
3532,2487288,745598
3536,1316060,3049765
3537,2492785,751432
3544,2486582,744859
3551,2496292,755122
3552,2493973,752698
3554,2490266,748766
3556,2496129,754964
3559,1203966,2904711
3560,2483914,742016
3561,2494673,753437
3562,2495289,754092
3565,2492254,750877
3567,2484786,742986
3580,1170389,2861556
3583,2489702,748174
3589,2491962,750569
3592,2495101,753879
3595,2488565,746992
3601,3055220,1343423
3603,1309420,3041278
3611,2490906,749462
3615,2490199,748696
3618,2487413,745736
3620,2487288,745598
3622,2495056,753829
3625,2494504,753255
3628,1308963,3040665
3629,2494386,753134
3632,2487226,745535
3633,2484063,742173
3641,2493262,751938
3646,2493388,752062
3647,2485726,743983
3651,2487776,746116
3652,2488415,746821
3653,2487226,745535
3654,1411957,3173178
3661,2488546,746973
3666,2485793,744052
3667,3124551,1416554
3668,2485235,743454
3669,2485560,743805
3671,2487776,746116
3672,2495647,754458
3675,2493034,751698
3677,2495065,753841
3682,2483856,741952
3684,2485793,744052
3686,2484209,742330
3689,196478,1831728
3693,2489248,747698
3697,2488666,747097
3698,2491656,750248
3703,2495306,754109
3706,2488851,747285
3707,2486034,744290
3710,1419513,3183100
3713,2487776,746116
3717,1259775,2977555
3721,2485461,743698
3722,2490998,749562
3728,1194233,2892286
3729,2485671,743925
3731,2487761,746095
3739,2492930,751588
3743,2494550,753313
3745,2493680,752381
3749,2335285,585666
3752,2487288,745598
3753,2491042,749611
3757,2483774,741872
3761,2483290,741374
3762,1259775,2977555
3765,2487226,745535
3768,2487226,745535
3771,2487776,746116
3772,2489103,747545
3776,2487226,745535
3778,2486542,744816
3779,2491862,750467
3781,2494776,753535
3783,2495153,753933
3785,2495289,754092
3795,196110,1831337
3797,2487378,745689
3804,2494499,753248
3812,2492230,750855
3813,2495128,753908
3817,2490265,748765
3818,2485461,743698
3831,2485927,744186
3845,2487613,745941
3848,2487776,746116
3855,2490266,748766
3858,2483355,741439
3861,2485897,744151
3862,2485090,743304
3872,2486589,744866
3873,2483882,741978
3874,2487984,746349
3877,1259775,2977555
3878,2492306,750931
3887,2494813,753576
3889,2493825,752543
3890,2486645,744922
3895,1251518,2966894
3896,2495769,754579
3898,2495595,754404
3901,1375185,3125355
3902,403475,2050318
3910,2488565,746992
3918,2487226,745535
3919,2493523,752214
3920,2490295,748794
3927,2487226,745535
3929,2485155,743381
3931,2486623,744902
3932,2490815,749365
3941,2495522,754346
3943,2487226,745535
3949,2487776,746116
3950,2493137,751812
3954,2489650,748116
3955,3137866,1430656
3961,2487776,746116
3968,2488565,746992
3969,1197888,2896870
3977,2102250,2851178
3978,2488393,746793
3983,2483324,741410
3984,2488855,747289
3987,2493390,752064
3996,3042262,1329613
3997,3058363,1346776
3998,3119091,1410804
4001,198237,1833523
4004,3064037,1352809
4008,3181747,1477019
4017,3072730,1362046
4020,1390789,3145733
4023,195124,1830323
4024,195764,1831008
4032,400154,2046756
4038,2455480,712028
4044,3135650,1428267
4049,3073425,1362728
4050,2241950,488329
4053,1272769,2994153
4056,2239064,485400
4058,2191039,436042
4059,3181383,1476634
4061,197847,1833122
4063,2241950,488329
4071,192188,1827290
4078,3144997,1438104
4079,3045816,1333470
4083,3122491,1414364
4090,3045180,1332763
4092,2241101,487470
4093,1270636,2991458
4096,3140940,1433885
4097,2351189,602332
4103,400553,2047199
4107,402170,2048912
4108,3138152,1430959
4111,3048322,1336160
4114,401237,2047942
4115,3138160,1430967
4116,402931,2049722
4117,3041752,1329094
4122,1189112,2885666
4126,400998,2047669
4129,2196087,441248
4133,3120314,1412037
4141,3107931,1399043
4146,2455480,712028
4147,198687,1833980
4150,3138327,1431135
4157,402930,2049721
4159,2233156,479344
4165,3133518,1425994
4167,1402183,3160527
4168,400354,2046979
4173,2253601,500391
4176,3189640,1485443
4178,2241950,488329
4180,2178899,423559
4185,2293718,541842
4186,3058005,1346390
4193,403315,2050155
4194,404036,2050899
4195,400277,2046895
4196,3069767,1358860
4207,3180435,1475634
4211,2423298,678179
4217,3070917,1360173
4219,194095,1829273
4223,400855,2047528
4241,3140400,1433327
4263,3145887,1439058
4281,400356,2046981
4283,3049675,1337655
4285,401983,2048729
4286,2259583,506586
4298,3126769,1418863
4304,3132370,1424782
4308,2253601,500391
4316,2464566,721546
4317,400881,2047549